source_ticker,cumulative_contribution,active_days,profitable
A,0.005246335741778885,972,True
AAL,0.0010136985114950225,854,True
AAP,-0.007286618865667589,799,False
AAPL,0.011516919709011126,938,True
ABBV,0.008731738119404708,840,True
ABNB,0.0013690994895838241,193,True
ABT,0.01174619619829471,930,True
ACGL,0.0040731129047025345,182,True
ACN,-1.1200960124273056e-05,1009,False
ADBE,0.0049177239329290185,989,True
ADI,0.0012541666567315655,676,True
ADM,0.0017783120569697286,1026,True
ADP,0.007849449106181636,853,True
ADSK,0.004765007942923238,921,True
AEE,0.0013295062730990191,740,True
AEP,0.005500472863807761,894,True
AES,0.0009481655887573496,979,True
AET,0.0051869754756823615,294,True
AFL,0.004182714090699409,734,True
AIG,0.002013827618245218,931,True
AIV,0.004396327066779715,527,True
AIZ,0.010136417295266846,855,True
AJG,0.006446384606557948,596,True
AKAM,0.009350018252120798,1062,True
ALB,0.0019971263219047074,860,True
ALGN,-0.0024608518648404024,801,False
ALK,-0.004880447686608336,667,False
ALL,0.005947999048869739,758,True
ALLE,0.006755651567775037,963,True
AMAT,0.0046309429227121305,913,True
AMCR,-0.00015483074340224702,527,False
AMD,0.020160282195393148,646,True
AME,0.004819098679190968,727,True
AMG,-0.0017357249900867902,603,False
AMGN,0.007773705910541369,895,True
AMP,0.0059838084556337314,948,True
AMT,0.0041142133363336626,950,True
AMTM,-0.001587314830498181,29,False
AMZN,0.004162808647823987,850,True
AN,0.0002709869579289614,295,True
ANDV,0.00925665102168873,350,True
ANET,0.004575189343632788,583,True
ANF,0.0033325012637261107,96,True
AON,0.005105445290977914,805,True
AOS,-0.004575727109985559,787,False
APA,0.0004100129298820605,1320,True
APD,0.007984549688480645,960,True
APH,0.004376201822855153,799,True
APO,-0.0014239986723407821,179,False
APP,0.00023587883958614097,55,True
APTV,0.0004826388273004978,986,True
ARE,0.005553073647809711,701,True
ARES,-0.0011765696978563612,64,False
ATI,-8.770926394005042e-05,151,False
ATO,0.0021858995734801477,404,True
AVB,0.0031618370969170085,868,True
AVGO,0.014468525698569379,507,True
AVY,0.005917042994390667,895,True
AWK,0.006488141784477589,710,True
AXON,0.0014737187542949288,206,True
AXP,0.007893012624003838,931,True
AYI,-0.0028787454685949895,318,False
AZO,0.00196668796741183,856,True
BA,0.014594484772515773,1059,True
BAC,0.005057468777024474,944,True
BALL,0.0005874089604186981,455,True
BAX,0.0021307138545166447,1114,True
BBBY,0.010043205660537069,447,True
BBT,0.0017779693331986869,417,True
BBWI,-0.0074556813112961326,366,False
BBY,0.00705530195314778,1031,True
BDX,0.00936410181628914,831,True
BEN,0.0038320462395166864,1247,True
BF-B,0.006155966846726139,1024,True
BG,0.0010296930187867512,260,True
BHF,0.0011299809293746311,274,True
BIIB,-0.003165134663425633,1062,False
BIO,0.0003671470103865947,361,True
BKNG,0.015364973591749898,925,True
BKR,0.006959814240987636,485,True
BLDR,-5.780696249216333e-05,267,False
BLK,0.003589118322973335,956,True
BMS,0.0006849531476804299,121,True
BMY,0.009973212478301165,1033,True
BR,0.0014887526184838395,618,True
BRK-B,0.004173604575676773,861,True
BRO,-0.0007623260662226578,457,False
BSX,0.0007430480469976926,782,True
BWA,0.006022738419547724,914,True
