source_ticker,cumulative_contribution,active_days,profitable
A,0.004102025741284127,1621,True
AAL,-0.003030488453375536,578,False
AAP,0.003997207791077111,583,True
AAPL,0.015559753064356474,1890,True
ABBV,0.008109465594646125,1800,True
ABNB,-0.0020668520445985598,145,False
ABT,8.398190638655002e-05,1687,True
ACGL,0.0013484817635541141,368,True
ACN,0.0073822034384798795,1703,True
ADBE,0.012282534110079605,1803,True
ADI,0.006738415785534449,1705,True
ADM,0.008172307987989683,1407,True
ADP,0.003785779787048837,1774,True
ADSK,0.009820379753007574,1705,True
AEE,0.005521315437731004,1621,True
AEP,0.008076820115429352,1670,True
AES,0.0017202731392338643,1244,True
AET,0.006296850133246577,995,True
AFL,0.00882063927969579,1745,True
AIG,0.0016482713151751832,1343,True
AIV,0.0004998886934081974,955,True
AIZ,0.009870707051447042,1580,True
AJG,0.005887308297185221,1377,True
AKAM,0.0021794617173427665,1467,True
ALB,0.004995727981408477,718,True
ALGN,-0.00342218555481727,676,False
ALK,-0.003264496700566201,443,False
ALL,0.005278695428176347,1738,True
ALLE,0.003922297815520518,1345,True
AMAT,0.017258266288717475,1778,True
AMCR,-0.00092872929218256,486,False
AMD,0.013439244674226964,1048,True
AME,0.00216570246194837,1377,True
AMG,0.000692809149455247,251,True
AMGN,0.009026393541132577,1894,True
AMP,0.006795242004129327,1545,True
AMT,-0.0024134026465824562,1593,False
AMZN,0.012432993281765196,1715,True
AN,-0.0010456596607236908,408,False
ANDV,-0.000539060941441941,875,False
ANET,0.014042910372069178,999,True
ANF,-0.00026227011378624897,115,False
AON,0.007339565475257301,1680,True
AOS,0.00018871298569157806,707,True
APA,-0.005374418862653109,928,False
APD,0.007400578103099085,1587,True
APH,0.010527823124162615,1948,True
APO,-0.0012893900864462773,55,False
APTV,0.0017857731991432803,1149,True
ARE,-0.0013544797382832694,737,False
ATI,-0.0014856489068688868,228,False
ATO,0.0020070838830739154,754,True
AVB,0.0005337926565490848,1360,True
AVGO,0.011470046603644183,1470,True
AVY,0.008650202437712716,1486,True
AWK,0.0012042163633884365,971,True
AXON,0.004693976503928792,280,True
AXP,0.005578518148363857,1597,True
AZO,0.009126299683658207,1976,True
BA,0.00510888372550757,1347,True
BAC,0.005937229274920636,1673,True
BALL,0.00191701226905037,347,True
BAX,0.0038653798346410732,1205,True
BBBY,0.002245614636876034,432,True
BBT,-0.001024860271241609,818,False
BBWI,-0.0021964017423057444,134,False
BBY,0.0021790549801802474,1409,True
BDX,0.0023473550058871213,1502,True
BEN,1.67451274669952e-05,1247,True
BF-B,0.0007605214732438458,1294,True
BG,0.001101652068428522,225,True
BIIB,0.0020904697130952055,1243,True
BIO,0.0002844132148008512,196,True
BKNG,0.00562066258025751,1678,True
BKR,0.002983725904885085,797,True
BLDR,-0.0008391369603192815,59,False
BLK,0.0061187531064957916,1657,True
BMS,-0.00039035889705929023,208,False
BMY,0.005046915669675786,1380,True
BR,-0.0027043695189971685,798,False
BRK-B,0.00352020328137848,1686,True
BRO,0.0021295949850439733,438,True
BSX,0.011770121663640016,1689,True
BWA,0.0006369533019809214,948,True
BX,-1.2380498528440616e-05,227,False
BXP,-0.005093128223621401,1279,False
C,0.005159193257054527,1494,True
CAG,0.005764086916448469,1332,True
CAH,0.00859444706285828,1663,True
CARR,0.001967015404796602,634,True
CAT,0.003185695046953773,1523,True
CB,0.0020078061587223152,1442,True
CBOE,-0.003389557697660275,1067,False
CBRE,0.007285666692328093,1762,True
CCI,0.0024170967240571364,1636,True
CCL,0.002807780838674529,1244,True
CDNS,0.007365061069855945,1158,True
CDW,0.0008325653895540057,481,True
CE,0.0011611681177308816,468,True
CEG,0.0030204527586760507,340,True
CF,0.008981397677102765,1426,True
CFG,-0.0005062278954588415,999,False
CHD,0.002066138510135782,876,True
CHRW,0.004104566189488634,1383,True
CHTR,0.0061414410317434985,815,True
CI,0.006110090012079251,1513,True
CIEN,0.004270955566195065,79,True
CINF,0.007069445621797283,1573,True
CL,-0.00032287559212319447,1393,False
CLF,-0.0006354782705698496,80,False
CLX,0.002848964126190733,1477,True
CMCSA,-0.0009244046501130291,1537,False
CME,0.005388949058959638,1812,True
CMG,0.012357180459183353,1613,True
CMI,0.0053041967467846755,1466,True
CMS,0.002049995980667419,1687,True
CNC,0.007878996236668634,820,True
CNP,0.005769997049177643,1394,True
CNX,-0.0018616609315094826,236,False
COF,0.002136556714946052,1449,True
COL,0.003390571954572859,119,True
COO,0.0022291663756147644,807,True
COP,0.006615016996789118,1314,True
COR,0.0004960139509473362,290,True
COST,0.007853210845223413,1838,True
COTY,-0.0021803595643648454,206,False
CPAY,0.0022554244956770313,135,True
CPB,0.005994759109540983,1223,True
CPRI,9.059772444894674e-05,232,True
CPRT,0.0021275680050149163,882,True
CPT,0.0010748454254974245,211,True
CRL,0.0005856358262416306,310,True
CRM,0.00809137402517089,1595,True
CRWD,0.0007310815422476804,165,True
CSCO,0.009863620736826765,1702,True
CSGP,-0.0002046947703693781,314,False
CSRA,0.0012901278068471527,227,True
CSX,0.007777481034091747,1653,True
CTAS,0.007483060002778116,1872,True
CTSH,-0.0040188721182949924,1316,False
CTVA,0.007961176536400452,821,True
CVS,0.00336137000565185,1262,True
CVX,0.005542476948178829,1402,True
CZR,-0.0018711930240388557,136,False
D,0.003724375179956479,1599,True
DAL,0.0013864719767887714,1464,True
DD,0.005348387184806662,1280,True
DDOG,0.0012404979308675644,45,True
DE,0.010551878181031187,1589,True
DECK,-0.0033129821685346653,119,False
DELL,0.005422381516496729,169,True
DG,0.007011855864666277,1483,True
DGX,0.004008202135250914,1670,True
DHI,0.004682627456892877,1574,True
DHR,0.008297230898170268,1634,True
DIS,0.003594953135451308,1342,True
DLR,0.0006938266670916914,1063,True
DLTR,0.0035494239421746342,1348,True
DOC,7.99938994490472e-05,98,True
