source_ticker,cumulative_contribution,active_days,profitable
A,0.005274003808929447,166,True
AAL,0.007584653966988915,34,True
AAP,-0.00903798070560686,46,False
AAPL,0.04987255551649319,238,True
ABBV,0.029096409756586582,189,True
ABNB,0.004348685533741996,5,True
ABT,0.010346969888483753,157,True
ACGL,-0.005320168520081299,42,False
ACN,-0.021357990982286,220,False
ADBE,-0.024183411340477454,217,False
ADI,-0.012391015809035177,150,False
ADM,0.023115899572425935,176,True
ADP,0.00366222052248436,211,True
ADSK,-0.0100255157538839,141,False
AEE,-0.0017833235062203615,176,False
AEP,-0.007222757337534791,187,False
AES,-0.01551985278238498,127,False
AET,0.005532726065445154,123,True
AFL,0.0006816368934751943,175,True
AIG,-0.0030342947808124085,124,False
AIV,-0.014766599966506923,117,False
AIZ,0.005678721632470511,199,True
AJG,0.019166150754861985,192,True
AKAM,-0.008210801315753972,123,False
ALB,-0.017115748879263686,83,False
ALGN,0.01606223404023109,53,True
ALK,0.005979833443730131,31,True
ALL,0.0009313003508783792,205,True
ALLE,-0.00680732862397392,135,False
AMAT,0.0032035061798409703,238,True
AMCR,-0.03173093754379128,33,False
AMD,0.029534945398982482,133,True
AME,0.003928954022611823,151,True
AMG,-0.006287905597386497,24,False
AMGN,0.03482729479256633,145,True
AMP,0.00011084116041202504,216,True
AMT,-0.016298600790059795,157,False
AMZN,-0.04866600426435521,202,False
AN,-0.005652314961502122,36,False
ANDV,0.0031913761370581293,81,True
ANET,0.04934899680478574,121,True
ANF,-7.807015526237058e-05,5,False
AON,0.007447371091000849,221,True
AOS,-0.0015832788016510381,62,False
APA,-0.0647545502141933,81,False
APD,0.0377228922421382,155,True
APH,0.014761132440425496,261,True
APO,-0.0008229978882020445,1,False
APTV,-0.015972472934026143,127,False
ARE,0.001651066234872652,66,True
ATI,-0.004242949179671278,19,False
ATO,-0.00040153350747171513,79,False
AVB,-0.000365827943929222,167,False
AVGO,0.04493384307169539,182,True
AVY,0.002759983375931288,156,True
AWK,0.008940314328513724,109,True
AXON,0.013837070943783815,45,True
AXP,0.003628482686362876,197,True
AZO,-0.014257271786076475,201,False
BA,0.038049213699572676,172,True
BAC,0.0015027819015765679,160,True
BALL,0.002759142678041719,21,True
BAX,-0.03416918868970088,103,False
BBBY,0.03672990695006461,25,True
BBT,-0.006804229609108998,60,False
BBWI,-0.006162314944269335,9,False
BBY,0.018737940139199508,144,True
BDX,0.004190150341576215,171,True
BEN,0.003664243329349033,136,True
BF-B,0.008570304080420163,127,True
BG,0.0030517298073886355,19,True
BIIB,-0.00032358942689289706,85,False
BIO,0.0016243895622238705,18,True
BKNG,0.013270857551775147,174,True
BKR,0.008520521528724071,64,True
BLK,-0.000846015335523048,196,False
BMS,0.00040398555340351907,32,True
BMY,0.00022780363834560492,129,True
BR,-0.0077122091949730015,80,False
BRK-B,-0.004288301303765723,229,False
BRO,-0.003688491689843252,57,False
BSX,0.05458038736011682,166,True
BWA,0.0005350099714883905,96,True
BX,-0.0014980559493132095,16,False
BXP,0.006198899674052791,110,True
C,-0.0017830220002259564,158,False
CAG,-0.010570087647091645,98,False
CAH,0.02278268135930228,169,True
CARR,0.012441759167606495,68,True
CAT,-0.01365717704359902,171,False
CB,-0.003631701562365806,190,False
CBOE,-0.009927263092733328,101,False
CBRE,-0.015359127826651817,149,False
CCI,0.02714040846325865,135,True
CCL,0.01373729437042705,107,True
CDNS,0.03385777246614247,122,True
CDW,0.007278001129553298,63,True
CE,0.009933651119421025,52,True
CEG,-0.03812097460583654,25,False
CF,-0.04095012259851072,126,False
CFG,-0.013435345028781898,104,False
CHD,0.0179286476169459,101,True
CHRW,-0.009611094419881115,123,False
CHTR,0.027963951101760847,81,True
CI,-0.02095303796049178,171,False
CIEN,-0.0078055893976498895,18,False
CINF,0.004966806950441033,214,True
CL,-0.017114721427997817,122,False
CLF,0.009473887946012732,3,True
CLX,-0.028997397887869255,117,False
CMCSA,-0.011419738930609841,141,False
CME,0.026482114951306753,195,True
CMG,-0.01195544250130273,160,False
CMI,-0.004974064560935993,142,False
CMS,0.009749352863667977,197,True
CNC,0.046971289568937404,85,True
CNP,0.002263553130844282,170,True
CNX,0.0011125573057359055,17,True
COF,0.014161047742925212,153,True
COL,-0.010558069804664309,1,False
COO,0.0019195301629574993,58,True
COP,-0.03462915697443093,162,False
COR,-0.0018471348428528158,29,False
COST,0.010738886373935743,256,True
COTY,0.0013154237247139725,4,True
CPAY,-0.0015792390296351308,11,False
CPB,-0.045997496559151106,102,False
CPRI,-0.0016675141637412802,28,False
CPRT,0.014968762526131907,105,True
CPT,-0.002025119765015533,16,False
CRL,0.003860235840334166,21,True
CRM,0.008459740911137983,153,True
CRWD,0.01690814249109927,21,True
CSCO,0.029522032961890467,204,True
CSGP,0.0005015819634933789,15,True
CSRA,0.019221348685765357,17,True
CSX,-0.005974345327200877,175,False
CTAS,0.005530853150745293,240,True
CTSH,-0.002279798299434848,127,False
CTVA,-0.004071121472648679,79,False
CVS,0.02300807072947956,159,True
CVX,-0.011052188178874177,150,False
CZR,-0.000738671701015354,5,False
D,-0.0299304148787118,158,False
DAL,0.0066031476812094545,98,True
DD,-0.02386863387613352,124,False
DDOG,0.005027158626998233,4,True
DE,-0.004774254365984652,146,False
DECK,-0.007128422433403809,2,False
DELL,0.04461683991865438,20,True
DG,-0.014750848103456206,142,False
DGX,-0.011281430668410416,153,False
DHI,0.001106477411003008,150,True
DHR,0.0292893734188869,178,True
DIS,-0.0029489798912495186,136,False
DLR,-0.10918266773939955,105,False
DLTR,-0.005012098036739609,122,False
DOC,-3.9300897861768366e-05,9,False
DOV,-0.0063579483395532705,172,False
DOW,-0.0022047826108450817,10,False
DPZ,-0.0008962051098384909,26,False
DRI,0.01589931664592209,143,True
DTE,-0.01476920019845501,180,False
DUK,-0.010311875657750293,166,False
DVA,0.007472544796098975,114,True
DVN,0.022988593034743692,103,True
DXC,0.00821346065730592,75,True
DXCM,0.005600491957934273,23,True
EA,0.020024557676446005,175,True
EBAY,-0.019864897788718843,134,False
ECL,-0.00053396516871075,190,False
ED,0.009313321645192893,167,True
EFX,-0.020638837572990707,184,False
EG,-0.0031095258834528587,8,False
EIX,0.012868065446398628,172,True
EL,-0.0264589213885388,149,False
ELV,0.0040403050355434286,17,True
EMN,-0.02096683214696519,105,False
EMR,0.0012738566877852195,143,True
ENPH,0.005424819318925762,13,True
EOG,0.024119567130823208,129,True
EPAM,-0.00440660457170141,5,False
EQIX,-0.010495007258065698,131,False
EQR,-0.003608908899635971,148,False
EQT,-0.023981239112812743,64,False
ES,-0.010337687737538515,158,False
ESRX,0.004086241250193837,64,True
ESS,-0.027205323473960256,128,False
ETN,-0.006975399417202689,192,False
ETR,-0.00518709996839496,192,False
ETSY,-0.0072603226486932584,15,False
EVHC,-0.000129533943125622,12,False
EVRG,0.006769646411407227,93,True
EW,-0.02177321163658557,144,False
EXC,-0.004277325411314442,156,False
EXE,-0.002799225978240067,1,False
EXPD,-0.00160628541031878,144,False
EXPE,0.0026770141299185656,132,True
EXR,-0.00593151814367406,102,False
F,0.03730839076124628,96,True
FANG,0.0013627157549576919,76,True
FAST,-0.005172119024409898,159,False
FB,-0.010566567522752455,108,False
FCX,0.02188558875476184,103,True
FDS,-0.001209433649531686,19,False
FDX,0.005564984316812943,170,True
FE,-0.023048527552683874,141,False
FFIV,0.007635875192506479,148,True
FHN,-0.0007185751636695833,9,False
FICO,0.006300281164619682,34,True
FIS,-0.004105352285097958,206,False
FISV,-0.007450335819110263,171,False
FITB,-0.00018672142521515382,141,False
FLR,-0.005267071072991924,40,False
FLS,-0.005513697186999919,50,False
FMC,0.028352793302166356,92,True
FOX,0.005375660741007415,44,True
FOXA,-0.005994221858797031,42,False
FRT,-0.000224060687852357,72,False
FSLR,-0.009088880938832016,51,False
FTI,0.011595742975969653,42,True
FTNT,0.032314621774780145,105,True
FTV,-6.38676444443307e-05,80,False
GD,0.002848089239220943,226,True
GE,-0.01213556788032598,164,False
GEHC,-0.0001310230771503302,20,False
GEN,-0.0013743566544958616,31,False
GEV,0.015092518692624532,37,True
GHC,0.0030241847955847665,47,True
GILD,-0.07875108786116179,152,False
GIS,0.011484511101500469,141,True
GL,-0.019574643137748052,58,False
GLW,-0.0076703007422392906,171,False
GM,0.0036983732091226814,91,True
GME,-0.0016665628213096378,33,False
GNRC,-0.012182644706212395,22,False
GNW,0.00014910883308127956,32,True
GOOG,0.008538458131291646,169,True
GOOGL,0.003918152348874528,212,True
GPC,0.014869364788217472,156,True
GPN,-0.0017779003319082973,79,False
GRMN,-0.007425490112518769,194,False
GS,0.025448977918534187,196,True
GT,0.014961592440379076,49,True
GWW,-0.02168258768637226,136,False
HAL,-0.012469314504823083,121,False
HAS,0.012389043062317574,125,True
HBAN,-0.0024818443148177135,139,False
HCA,-0.01897197201602992,113,False
HD,-0.0029767437588863245,237,False
HIG,-0.011987855043140393,188,False
HII,0.006492254543694757,73,True
HLT,-0.010836424971300608,115,False
HOG,0.002458081669434872,36,True
HON,-0.0010636301641106724,164,False
HP,0.0061262792427292925,68,True
HPE,0.007332640513031271,91,True
HPQ,-0.02082007565814827,125,False
HRB,0.0029800500304601957,78,True
HRL,-0.040985324903907605,127,False
HSIC,-0.005236498386124736,75,False
HST,-0.00028784152573370315,118,False
HSY,0.010100106464803098,182,True
HUBB,-2.6191985909186817e-05,23,False
HUM,-0.0005538553880237787,140,False
HWM,0.0001738299751891134,95,True
IBKR,0.0009569920045803704,1,True
IBM,0.008150623281674001,129,True
ICE,0.026259799298330187,202,True
IDXX,-0.018240856258374464,94,False
IEX,-0.000528998335989755,51,False
IFF,-0.0055886957838303135,123,False
ILMN,-0.02183688696800718,72,False
INCY,-0.006352907469117895,43,False
INTC,0.13207202342179689,135,True
INTU,0.0004990642967386034,220,True
INVH,-0.00047342945976162903,14,False
IP,0.013196062048415648,99,True
IPGP,-0.0030111300509249967,19,False
IQV,0.01663757746541172,71,True
IR,-0.0013172622082752439,15,False
IRM,-0.11062694529232842,186,False
ISRG,0.012813787827035178,167,True
IT,-0.005673590901998545,96,False
ITW,-0.00256048854894166,197,False
IVZ,-0.021183761861793545,126,False
J,0.005900711625418404,62,True
JBHT,0.006108284822615581,104,True
JBL,-0.010403127398339746,70,False
JCI,0.018142979009739723,176,True
JEF,-0.0014412116648331358,53,False
JKHY,0.05708001536109603,60,True
JNJ,-0.013634905085875112,207,False
JPM,0.01103595038993182,240,True
KDP,-0.005241924607860064,114,False
KEY,-0.002625383467904391,141,False
KEYS,-0.012623352554426506,89,False
KHC,-0.004373785476556317,53,False
KIM,0.009587445741035129,144,True
KLAC,0.002524304853520328,246,True
KMB,-0.00274162175690262,115,False
KMI,0.010876086257605309,124,True
KMX,-0.01937242509608044,81,False
KO,-0.009284865719955218,161,False
KR,-0.013826337420583541,159,False
KSS,0.01055312653903979,54,True
KVUE,0.0030113729119130074,17,True
L,-0.01914771874206187,159,False
LDOS,0.01794872331340015,112,True
LEG,0.0028927596416884515,103,True
LEN,0.019839777533725768,129,True
LH,-0.008378849039860883,144,False
LHX,-0.006610008157152294,56,False
LII,0.0008482001140488391,2,True
LIN,-0.0007912600212070445,92,False
LKQ,0.014136922491795288,51,True
LLY,-0.0013828599611879126,179,False
LMT,0.028745128914218234,215,True
LNC,-0.0047093860698469,101,False
LNT,-0.006675991646591262,122,False
LOW,0.013055187876300195,194,True
LRCX,0.018403234102109294,241,True
LULU,-0.0005508588497292374,1,False
LUMN,-0.0027047879093547627,1,False
LUV,0.014380366331602933,154,True
LVS,0.0064521562465317435,31,True
LW,-0.0035131199533491907,42,False
LYB,0.003955253666777402,117,True
LYV,0.007451130771738279,81,True
M,-0.002794969057091168,51,False
MA,-0.009098675464834014,230,False
MAA,3.1143347396320854e-05,120,True
MAC,-0.007571620973277435,46,False
MAR,0.005884241875204337,224,True
MAS,0.0026906635701485796,165,True
