source_ticker,cumulative_contribution,active_days,profitable
A,0.005042777835318242,2345,True
AAL,-0.0010114817639487873,787,False
AAP,0.001488433563796167,931,True
AAPL,0.01183807992313728,2540,True
ABBV,0.007139298086275381,2459,True
ABNB,-0.0009510012968379375,234,False
ABT,0.0030049109958154483,2527,True
ACGL,0.0008566907779791009,498,True
ACN,0.0053808094111273495,2449,True
ADBE,0.014738334302473332,2500,True
ADI,0.006293595788076839,2675,True
ADM,0.005232370831035513,2111,True
ADP,0.004790148562855541,2769,True
ADSK,0.00698479636232405,2545,True
AEE,0.004542333088351726,2676,True
AEP,0.0057216404150006155,2474,True
AES,0.0029964427428005682,1900,True
AET,0.004784391592576192,1377,True
AFL,0.006225188569586604,2724,True
AIG,0.002982241492140796,2157,True
AIV,0.002706664050433295,1528,True
AIZ,0.0066605263713472454,2462,True
AJG,0.006985338133145306,2044,True
AKAM,0.003373291529167274,2119,True
ALB,0.004780595480076598,1082,True
ALGN,-0.0005919150025961383,1055,False
ALK,-0.001812681355665362,700,False
ALL,0.005949105162332193,2645,True
ALLE,0.0035058114165492176,2096,True
AMAT,0.020121580817389764,2573,True
AMCR,-0.0009030458792417556,846,False
AMD,0.018656120247521748,1785,True
AME,0.0029679030921582537,2231,True
AMG,-0.0009073804680212074,422,False
AMGN,0.005368320821311178,2649,True
AMP,0.007882767042159072,2378,True
AMT,0.0007614067100048757,2209,True
AMZN,0.01363324034452355,2596,True
AN,-0.000977952107615737,685,False
ANDV,0.0021254525452426634,1126,True
ANET,0.007777273076584353,1421,True
ANF,-0.0006763017408797368,165,False
AON,0.005688576465799885,2572,True
AOS,0.0008068485050887646,1142,True
APA,0.0002464816476187095,1494,True
APD,0.005812231697090578,2469,True
APH,0.009479449941249895,2896,True
APO,-0.0012506316866549765,64,False
APTV,0.0012553925095288231,1852,True
ARE,0.00044966486051337823,1157,True
ATI,-0.0006458566404359617,325,False
ATO,0.001353590847232832,1214,True
AVB,0.0015877374590493275,2133,True
AVGO,0.012158070404737367,2443,True
AVY,0.0058291699410084165,2350,True
AWK,0.0021127748254757737,1486,True
AXON,0.0036472487337107047,441,True
AXP,0.004287412208462928,2429,True
AZO,0.009760883555464261,2770,True
BA,0.0037323721311528966,2076,True
BAC,0.0026200157506603913,2347,True
BALL,0.0001577721320648208,483,True
BAX,0.0014468173486431777,1748,True
