source_ticker,cumulative_contribution,active_days,profitable
A,0.004145428161643795,2674,True
AAL,0.001220141062491119,1369,True
AAP,-0.0015122923634074308,1503,False
AAPL,0.010580903176886288,2835,True
ABBV,0.007459168416108193,2633,True
ABNB,0.0005138311493745564,348,True
ABT,0.005252302565255762,2871,True
ACGL,0.001177576266922868,531,True
ACN,0.005331236827888873,2823,True
ADBE,0.012589462046989295,2935,True
ADI,0.006638649444805268,2867,True
ADM,0.004758298845285843,2572,True
ADP,0.00466326974627802,2992,True
ADSK,0.006494905759830562,2817,True
AEE,0.00468085444979036,2849,True
AEP,0.00594684217388829,2729,True
AES,0.0033512854015831247,2377,True
AET,0.004968208578790715,1407,True
AFL,0.00509638239714509,2895,True
AIG,0.003243863311626576,2539,True
AIV,0.0038369683388226,1678,True
AIZ,0.0077970395618110235,2736,True
AJG,0.00547127537621149,2192,True
AKAM,0.0030200073914857057,2563,True
ALB,0.004767971212714433,1630,True
ALGN,-1.1202987232329596e-05,1512,False
ALK,-0.0005593283110602493,1077,False
ALL,0.0068548159199912405,2825,True
ALLE,0.005028855074858759,2397,True
AMAT,0.01488439816820288,2956,True
AMCR,-0.00016878832292612062,1151,False
AMD,0.01491154610870174,2047,True
AME,0.005270725370039762,2452,True
AMG,-0.00027730035390690114,886,False
AMGN,0.004151110935776046,2840,True
AMP,0.007142708211407164,2718,True
AMT,0.0031311191141070263,2563,True
AMTM,-0.0005541377027764071,29,False
AMZN,0.011226743759404073,2845,True
AN,0.0009590611535100454,805,True
ANDV,0.003850863859947609,1202,True
ANET,0.0070412484536709835,1613,True
ANF,-7.631386040498462e-05,234,False
AON,0.005519771974989477,2736,True
AOS,0.00017412540736118576,1551,True
APA,0.0062248212803492275,2328,True
APD,0.005957915978171418,2744,True
APH,0.009098604028578337,3035,True
APO,-0.0012244850322902059,187,False
APP,6.893032613652412e-05,48,True
APTV,0.0038660036294170183,2320,True
ARE,-0.0014674177975558093,1554,False
ARES,-0.00014125239342738447,60,False
ATI,0.0005560473854075508,366,True
ATO,0.0019881288109106277,1309,True
AVB,0.0036795944759474434,2527,True
AVGO,0.011797949873400968,2562,True
AVY,0.006363237419841435,2708,True
AWK,0.003388718332898859,1786,True
AXON,0.0030897352859088102,508,True
AXP,0.005657512762266785,2739,True
AYI,-0.0006429083715255004,309,False
AZO,0.007658389099323418,3034,True
BA,0.006148987821838895,2538,True
BAC,0.004256875397393243,2644,True
BALL,0.0007238457260874535,743,True
BAX,0.0010205186350931176,2369,True
BBBY,0.0012869713773631041,913,True
BBT,0.001620221002652939,1334,True
BBWI,-0.0017233939210260125,476,False
BBY,0.00640939758103837,2610,True
BDX,0.0036098066963504037,2621,True
BEN,0.0027423621412793016,2525,True
BF-B,0.004696386905242788,2210,True
BG,0.00102374892919297,515,True
BHF,0.0001020559051419599,263,True
BIIB,0.002150255613975213,2472,True
BIO,0.0008574757239909956,535,True
BKNG,0.008307287197721697,2714,True
BKR,0.0030176651841095177,1301,True
BLDR,-0.0006743100323275701,306,False
BLK,0.0050018326667319365,2890,True
BMS,0.0005645868686010562,376,True
BMY,0.003921376147165678,2571,True
BR,0.0018567963552563653,1568,True
BRK-B,0.004260830443571611,2831,True
BRO,0.001263937368638294,829,True
BSX,0.006066270178794112,2858,True
BWA,0.0036522066701336086,2138,True
BX,0.0004331299639536252,357,True
BXP,-0.002293399080242071,2449,False
C,0.005978658817848818,2595,True
CAG,0.0017875097333983595,2605,True
CAH,0.0062375813175175945,2742,True
CARR,0.004862758443770267,1186,True
CASY,0.0002545244535178501,22,True
CAT,0.00695025256653811,2577,True
CB,0.004626702307910785,2875,True
CBOE,0.0036640272625453794,1724,True
CBRE,0.007617547290018751,2658,True
CCI,0.0018363713220452172,2690,True
CCL,0.005822261764064104,2317,True
CDNS,0.007052527040341915,1718,True
CDW,0.0018379992818648903,1068,True
CE,0.0006652355605643552,1093,True
CEG,0.001762492594099881,500,True
CF,0.006568963008492794,2589,True
CFG,0.004640733217838494,1918,True
CHD,0.002597707820056757,1904,True
CHRW,0.00422537620708058,2446,True
CHTR,0.001102972448652151,1874,True
CI,0.00533179932779391,2539,True
CIEN,0.0010104987769137496,126,True
CINF,0.006327461650370029,2878,True
CL,0.0015778069700292743,2551,True
CLF,-0.0013103651244168583,190,False
CLX,0.0032428931730317094,2631,True
CMCSA,0.0029408831218593586,2793,True
CME,0.0055811558053250705,2857,True
CMG,0.00883556335876663,2657,True
CMI,0.005017535033888169,2691,True
CMS,0.004487477710106125,2791,True
CNC,0.0035961205575737883,1758,True
CNP,0.004603028700174595,2614,True
CNX,-0.0025261601575992574,643,False
COF,0.0061750671204396645,2536,True
COHR,0.001190059743834593,41,True
COIN,0.0003194795378571084,110,True
COL,0.013243209016206098,622,True
