source_ticker,cumulative_contribution,active_days,profitable
A,0.004002518611482774,1749,True
AAL,-0.007361524830490571,1267,False
AAP,-0.004959930600900525,991,False
AAPL,0.007108894791394892,1793,True
ABBV,0.009017010308620626,1727,True
ABNB,0.0018952319480973132,368,True
ABT,0.0032620456585324867,1759,True
ACGL,0.002434731377321981,486,True
ACN,0.0030483117761078635,1826,True
ADBE,0.003906633949176616,1754,True
ADI,0.003239919153971066,1685,True
ADM,0.001988242047622462,1771,True
ADP,0.004547325525965465,1851,True
ADSK,0.0060749124070404665,1775,True
AEE,0.001973419176422562,1784,True
AEP,0.006945309581833032,1813,True
AES,0.005481367907584654,1822,True
AET,0.0027794349407874487,726,True
AFL,0.0033590061057302534,1790,True
AIG,0.004906938178665742,1761,True
AIV,0.006653486340045941,1046,True
AIZ,0.005419761078334907,1721,True
AJG,0.004985725319550536,1379,True
AKAM,0.0008104683637029516,1771,True
ALB,0.00668968207431154,1270,True
ALGN,0.0025198703451310683,1181,True
ALK,-0.0006691939653152906,986,False
ALL,0.0038519735083398154,1698,True
ALLE,0.00637796776970547,1616,True
AMAT,0.00790151990096269,1737,True
AMCR,0.00012582662824168827,924,True
AMD,0.015044200833282612,1251,True
AME,0.0028248876588220294,1561,True
AMG,0.0005777005835909974,716,True
AMGN,0.012216238437910044,1782,True
AMP,0.007041823951804797,1747,True
AMT,0.006253242572284784,1744,True
AMTM,-0.001960625211391556,16,False
AMZN,0.012388746302082343,1744,True
AN,0.0020222373616911623,589,True
ANDV,0.002060865680486811,732,True
ANET,0.005162413815762561,1050,True
ANF,-0.0025832930249485614,106,False
AON,0.0032013698787348444,1766,True
AOS,-0.011036971597692206,1166,False
APA,-0.002108501652433484,1754,False
APD,0.0023551161475633005,1680,True
APH,0.004882324768896455,1724,True
APO,0.0009175060531640936,188,True
APP,-0.0011041614764230225,96,False
APTV,0.006060711421613571,1681,True
ARE,0.00022889832474064312,1200,True
ARES,0.0011415649177460513,83,True
ATI,0.0016017196347454302,323,True
ATO,0.00019769121669234612,943,True
AVB,0.005027155919217936,1794,True
AVGO,0.011925423311692315,1573,True
AVY,0.007496024709388819,1722,True
AWK,0.004076716725308965,1354,True
AXON,0.002347181153708355,417,True
AXP,0.004616520576023975,1729,True
AYI,-0.0011389605903290067,238,False
AZO,-0.01081018913292437,1718,False
BA,0.005473615143201979,1757,True
BAC,0.005258962535043649,1735,True
BALL,0.00029381004421676673,548,True
BAX,-0.0024308097126242026,1854,False
BBBY,0.0032870101382975257,587,True
BBT,0.0005703772595624228,871,True
BBWI,-0.0076527337961415295,356,False
BBY,0.018294000164246423,1798,True
BDX,0.0036458456996845507,1786,True
BEN,-0.0008977480776516531,1778,False
BF-B,3.0412336840760958e-05,1766,True
BG,0.0012158820613234545,395,True
BHF,-0.0017452610418516971,203,False
BIIB,-0.003772301999319637,1697,False
BIO,-0.002458203898767374,523,False
BKNG,0.0035306358766159585,1726,True
BKR,0.007438396829228109,854,True
BLDR,-0.002153834684177331,317,False
BLK,0.00506085544985618,1706,True
BMS,0.0002720207922286214,245,True
BMY,0.007551635174832045,1780,True
BR,-0.0030595083066416043,1034,False
BRK-B,0.001974391285950559,1752,True
BRO,0.002018589887861,649,True
BSX,0.0026779760907755814,1660,True
BWA,0.0012543769815064718,1523,True
BX,0.002821652094640132,370,True
BXP,0.0026450443923589275,1755,True
