source_ticker,cumulative_contribution,active_days,profitable
A,0.011679554191096082,541,True
AAL,0.025369506072693282,636,True
AAP,0.0010825450159921372,481,True
AAPL,-0.014688137130070044,479,False
ABBV,0.017736456613875958,419,True
ABNB,0.004266730554897756,158,True
ABT,0.0032886840310906397,612,True
ACGL,0.001869187114365896,105,True
ACN,-0.0020488590337519336,370,False
ADBE,0.014116646961863521,546,True
ADI,0.0022630178740928176,527,True
ADM,0.003947293641883312,502,True
ADP,0.006424089669236475,435,True
ADSK,0.0012981465114137011,622,True
AEE,0.0067817389150302484,261,True
AEP,-0.0014296407735040668,479,False
AES,-0.004573483672418633,658,False
AET,0.010546608839559558,170,True
AFL,0.010379581566302473,450,True
AIG,0.004509911831638426,567,True
AIV,0.004389623517797473,196,True
AIZ,0.006404567263314597,332,True
AJG,0.0051344160409243,328,True
AKAM,0.010066411724064302,521,True
ALB,0.009024829290012724,512,True
ALGN,0.0014603019336223183,682,True
ALK,-0.002923079236199314,469,False
ALL,0.0044044029039939986,337,True
ALLE,0.001922136566113881,473,True
AMAT,0.004865762276050575,421,True
AMCR,0.002430813247252805,361,True
AMD,0.007662038074792929,331,True
AME,0.007993567721214349,527,True
AMG,-0.0044125439193303684,274,False
AMGN,-0.00157072567806035,606,False
AMP,0.01702524326827777,349,True
AMT,0.00900342513176905,614,True
AMTM,0.0002851484424134294,4,True
AMZN,0.00564060339462518,594,True
AN,-0.0049958845331665195,224,False
ANDV,-0.010330750056179177,162,False
ANET,0.013726873619377022,346,True
ANF,0.010689621683756081,37,True
AON,0.022036085897343582,455,True
AOS,0.0016732741495847487,574,True
APA,-0.004493702757345912,768,False
APD,0.016119282257244096,449,True
APH,0.007096310666652016,392,True
APO,-0.002248640810729087,116,False
APP,-0.00573301773966244,66,False
APTV,0.0026850397283611073,521,True
ARE,-0.002083485046400918,536,False
ARES,-0.0026935173403461114,56,False
ATI,0.004208173086671913,122,True
ATO,0.0038648177253245222,331,True
AVB,0.015892951780104803,386,True
AVGO,0.016319657015741035,461,True
AVY,0.017606869136346813,561,True
AWK,-0.0011294653902406994,490,False
AXON,0.009692892895879249,112,True
AXP,0.011875311788841636,521,True
AYI,-0.0016580986717469651,148,False
AZO,0.0015792012286565895,648,True
BA,0.0007367031465650397,602,True
BAC,0.010761062185329193,503,True
BALL,-9.434899328536786e-06,231,False
BAX,-0.006197646350173307,570,False
BBBY,-0.009433255432832043,289,False
BBT,0.002526890939692652,233,True
BBWI,0.010210843536927649,263,True
BBY,-0.004141428040248696,561,False
BDX,0.009060783979612267,482,True
BEN,-0.0008951369231560125,687,False
BF-B,0.000738605483649615,689,True
BG,0.0028780545982961246,279,True
BHF,-2.6335538486407992e-05,79,False
BIIB,0.030886074680586215,692,True
BIO,0.012149544346740353,248,True
BKNG,0.01976351297523992,541,True
BKR,-0.0015552566028772508,294,False
BLDR,0.00489866351545304,169,True
BLK,-0.00016288738949278063,621,False
BMS,0.0005035107248769192,47,True
BMY,0.004534628419796905,737,True
BR,0.00402839976201599,495,True
BRK-B,0.004077555435106969,574,True
BRO,0.0001304665659406675,221,True
BSX,0.002785626188074466,503,True
BWA,0.015220012399264193,432,True
BX,-0.00014054134323788207,202,False
BXP,0.0010483027631538553,509,True
C,0.0075365337147199835,635,True
CAG,-0.007111086681479149,701,False
CAH,0.010169942724317241,462,True
CARR,0.0008305672574421979,418,True
CASY,0.0013344898203320006,32,True
CAT,-0.0026704686019621525,553,False
CB,0.0029337173598071513,345,True
CBOE,0.007864519038770433,273,True
CBRE,0.014746307627539928,520,True
CCI,0.010814526175470499,659,True
CCL,0.014300988722909042,698,True
CDNS,0.009500274447852107,363,True
CDW,0.0028352604111992947,328,True
CE,-0.008408534882204022,304,False
CEG,0.0011793060052927831,178,True
CF,0.015493509859460377,511,True
CFG,0.000285584635534173,454,True
CHD,0.009313063831236696,478,True
CHRW,0.012520257707385683,475,True
CHTR,-0.006246714045715356,600,False
CI,0.011898779239590608,534,True
CIEN,-0.0014511410022865733,42,False
CINF,-0.017793086631468297,396,False
CL,0.0028808532550201357,619,True
CLF,-0.027695047855703214,82,False
