source_ticker,cumulative_contribution,active_days,profitable
ALGN,0.0466266493042895,1,True
AMD,0.07142873805362793,11,True
BBBY,-0.055900596099744515,1,False
BF-B,-0.012066306555074346,2,False
BIIB,0.041223165348576174,3,True
BRK-B,-0.008526557777274069,2,False
CIEN,0.08610237713943353,24,True
DELL,-0.04125184360391776,2,False
DHR,-0.0029864803357091407,10,False
DXC,0.017218995054161246,1,True
EFX,0.0820417448418479,1,True
EQT,-0.0543853754858451,3,False
EXPE,-0.0308271191512115,1,False
FSLR,-0.06759593542679487,11,False
HUBB,0.010053554670969633,3,True
JBL,0.007149876807553468,15,True
KDP,-0.03428024346751468,4,False
LDOS,-0.00012041281628027978,1,False
MOLX,0.008523147321043978,3,True
NFLX,0.04393746178568014,1,True
NKTR,0.48039224356722376,7,True
NVR,-0.30167423960079875,32,False
PARA,2.6377465457276883,112,True
PRGO,0.013199935506771898,1,True
SMCI,-0.06348356613755435,2,False
STZ,0.00822869388921732,1,True
TER,0.0329735327456151,3,True
TMUS,-0.003404392040947224,1,False
TT,-0.04742506848432648,2,False
WBD,0.030912317948879275,2,True
