source_ticker,cumulative_contribution,active_days,profitable
A,0.012013338590847685,530,True
AAL,0.0027086946537105434,599,True
AAP,-0.004223464981014378,561,False
AAPL,0.012929522098070384,453,True
ABBV,0.0098785316687302,506,True
ABNB,0.0036102745587869318,151,True
ABT,0.022309674542998155,459,True
ACGL,0.0036200510469046663,79,True
ACN,0.007051949005155765,560,True
ADBE,0.006672384661289306,550,True
ADI,0.0009347447371974007,262,True
ADM,0.005780043380432322,627,True
ADP,0.007400763116528115,461,True
ADSK,0.006376395291589478,445,True
AEE,0.007281278845384729,369,True
AEP,0.004943621184320197,483,True
AES,0.0019610710292498968,484,True
AET,0.006467967563362132,153,True
AFL,0.006143789137183053,421,True
AIG,0.005497629145125067,593,True
AIV,0.002222836962773177,356,True
AIZ,0.009607111740186402,460,True
AJG,0.005205571590251461,285,True
AKAM,0.02031726607071674,681,True
ALB,0.014057642925105952,577,True
ALGN,-0.008330961651051221,535,False
ALK,0.007664384425535367,454,True
ALL,0.004939279724200013,355,True
ALLE,0.0011764811207659776,504,True
AMAT,0.0008980224952091599,392,True
AMCR,0.000453690080901996,322,True
AMD,0.009901279477451373,275,True
AME,0.005114722330531965,356,True
AMG,-0.0010293321057752137,555,False
AMGN,0.027489685843381982,437,True
AMP,0.00479334412150134,443,True
AMT,0.013956386767819616,454,True
AMTM,-0.0009259212428736553,27,False
AMZN,0.014448209588121317,445,True
AN,-0.001950453066923104,270,False
ANDV,0.008958363158220618,233,True
ANET,0.004034319617076783,277,True
ANF,0.009277389679318775,40,True
AON,0.006441338231301918,528,True
AOS,0.0012259130708005637,474,True
APA,-0.017889239866236296,945,False
APD,0.011166305428998966,549,True
APH,0.0013925662891444033,303,True
APO,-3.0585516475085104e-05,170,False
APP,0.0016336797562017335,53,True
APTV,0.015451994099877946,650,True
ARE,-0.0028165182502960743,433,False
ARES,-0.0026485852169320103,55,False
ATI,0.008712389570691871,110,True
ATO,0.0016790985462919656,139,True
AVB,-0.003886413588690921,548,False
AVGO,0.005045067520052391,175,True
AVY,0.002618386430282672,556,True
AWK,0.01667917508988408,432,True
AXON,0.004733920951460367,149,True
AXP,0.00905489371032937,549,True
AYI,-0.006006897536609289,309,False
AZO,0.004314963909387731,560,True
BA,0.0077368389817307065,614,True
BAC,0.011871829793639122,498,True
BALL,-0.004287219297786893,343,False
BAX,-0.005801811016993382,751,False
BBBY,-0.004350850646814346,380,False
BBT,0.004984100642899501,305,True
BBWI,-0.005446572058884962,251,False
BBY,-0.000871041783681895,516,False
BDX,0.007330439970320399,424,True
BEN,0.008113533070960893,826,True
BF-B,0.0063459597331030244,500,True
BG,-0.004945964965556496,215,False
BHF,0.0014681365847779419,263,True
BIIB,-0.015484716867058233,720,False
BIO,0.0013246405953889397,170,True
BKNG,0.013994114711988111,575,True
BKR,0.0018839301387629155,200,True
BLDR,0.001653662482202619,235,True
BLK,0.0024469513787977277,516,True
BMS,0.0010167361066355774,66,True
BMY,0.011981741150784583,619,True
BR,0.0016207703524220816,353,True
BRK-B,0.005569398612869674,433,True
BRO,-0.003080596115283557,289,False
BSX,0.00701759644903812,448,True
BWA,0.011916462931984272,547,True
BX,-0.001401107581102799,132,False
BXP,-0.009143295305237796,650,False
C,0.012856044869185448,589,True
CAG,-0.0026001866543021433,829,False
CAH,0.008153316898344259,654,True
CARR,0.011060409621365515,218,True
CASY,0.0016924355263482748,29,True
CAT,-0.001908532204694776,568,False
CB,0.0015493325631610044,427,True
CBOE,0.005779729437057839,234,True
CBRE,0.01215483145329768,511,True
CCI,0.01623546561848115,540,True
CCL,0.023603248832176366,682,True
CDNS,0.003254709967040478,351,True
CDW,0.0004729256308768419,335,True
CE,-0.00064872329079196,242,False
CEG,0.002991461217363501,93,True
CF,0.0112790205168344,420,True
CFG,-0.00585586934441493,397,False
CHD,0.0021363743141548587,518,True
CHRW,0.008426006297751813,610,True
CHTR,-0.026588257539690175,697,False
CI,0.011428227001677548,671,True
CINF,0.025499637075509493,479,True
CL,0.004309926734272343,655,True
CLF,-0.02818481214793786,55,False
CLX,0.010186310394966045,774,True
CMCSA,0.006787598730594898,619,True
CME,0.01426849608987831,350,True
CMG,0.0029973096419882253,767,True
CMI,-0.0030195918714984835,533,False
CMS,0.008502862169042022,357,True
CNC,-0.003954024986652595,429,False
CNP,0.0063824526389670505,428,True
CNX,-0.015598722345524509,305,False
COF,0.0024016100661047425,501,True
COHR,0.014505262385842993,27,True
COIN,-0.0023283365728778093,69,False
COL,0.1076501504772074,267,True
COO,0.00915847563386712,535,True
COP,-0.0017526149381846964,652,False
COR,0.0019438144465638869,115,True
COST,0.006127851685229179,393,True
COTY,0.020068090016485504,426,True
CPAY,0.0009065633717856048,109,True
CPB,0.004644969156800363,700,True
CPRI,-0.0013874331342398683,374,False
CPRT,-0.0031765098888047573,371,False
CPT,0.0051643623237011636,272,True
CRH,0.0013710524290874103,41,True
CRL,0.004809078047171998,200,True
CRM,0.0050239206182896325,569,True
CRWD,0.0024124852376188085,149,True
CSCO,0.002170803506281346,421,True
CSGP,-0.005375520623780318,254,False
CSX,0.004402873629669212,475,True
CTAS,0.0009374821834021004,330,True
CTSH,0.011483127246632205,698,True
CTVA,0.006355621989350396,88,True
CVS,-0.0041732024028338964,606,False
CVX,0.0007659666513416866,619,True
CZR,0.01248469042509876,243,True
D,0.008774443732943019,519,True
DAL,0.005303443245242621,506,True
DASH,-0.0003483134614607311,141,False
DD,0.0005710768000972668,411,True
DDOG,-0.00039903671112721405,85,False
DE,0.013674522271889715,425,True
DECK,-0.00010256059796985025,167,False
DELL,0.0027602143871918836,95,True
DG,-0.0024155967361535672,646,False
DGX,0.0024134567906051803,417,True
DHI,0.006144382297078248,503,True
DHR,0.0018943994581998456,430,True
DIS,0.0014539250325355398,648,True
DLR,0.005172802937883872,366,True
DLTR,-0.0016889238006782326,924,False
DOC,0.0014792009456346508,127,True
DOV,0.000669434667852961,466,True
DOW,-3.633513685817678e-05,305,False
DPZ,0.009458241988078871,327,True
DRI,0.011020442603268767,493,True
DTE,0.0020535659249340506,395,True
DUK,0.004485978038502058,437,True
DVA,0.007853745383095611,725,True
DVN,0.0046355191831582215,746,True
DXC,-0.004525577469097586,380,False
DXCM,0.027343675214631206,420,True
EBAY,0.019017078314324868,560,True
ECHO,0.0011082664474797782,9,True
ECL,0.004903924921167548,477,True
ED,0.039517396885201825,489,True
EFX,0.010716904386656794,618,True
EG,0.0035660296102914303,105,True
EIX,-0.007161334138046563,573,False
EL,0.006916810053007748,633,True
ELV,-0.007668452556183856,150,False
EME,0.004581375288650056,9,True
EMN,0.004704114873566025,677,True
EMR,0.0036327582137165625,547,True
ENPH,-0.007757672451385304,343,False
EOG,0.004936404326216385,630,True
EPAM,-0.01051472486508764,347,False
EQIX,0.018385104634346897,497,True
EQR,-0.0010661746892307808,533,False
EQT,-0.006430271089776581,555,False
ERIE,-0.001066260158812161,159,False
ES,0.01292804662752902,568,True
ESRX,0.011631450130796426,329,True
ESS,0.006989611617386525,693,True
ETN,-7.404178459585415e-05,416,False
ETR,-0.0005366088838078462,306,False
ETSY,0.0005568641001078263,50,True
EVHC,-0.003945509843103828,146,False
EVRG,0.0016940952379108113,226,True
EW,0.020135510874047094,480,True
EXC,0.0005715301141472251,556,True
EXE,-0.0003632326069035021,53,False
EXPD,-0.0007617457907963466,641,False
EXPE,0.015665383051243126,466,True
EXR,0.009920059027019711,516,True
F,0.009825677665052554,649,True
FANG,0.002182605193858479,347,True
FAST,0.007787229494357001,579,True
FB,-0.00019006128839525066,313,False
FCX,0.003147661977174439,833,True
FDS,-0.004938246265575987,246,False
FDX,0.0035463119313055087,577,True
FE,0.008145534468236952,575,True
FFIV,0.0009338407481482228,709,True
FHN,-0.004106631352794798,14,False
FICO,-0.005148589798412326,229,False
FIS,0.01681502494650168,581,True
FISV,-0.001036133451981623,259,False
FITB,-0.0011715990579268,648,False
FLEX,-0.00021410782677678142,21,False
FLR,-0.002361097425369039,493,False
FLS,0.0010898326199496693,487,True
FMC,-0.018644525365589942,705,False
FOX,0.0039062508549651724,112,True
FOXA,0.004248559496182096,112,True
FRT,0.0167233175487258,590,True
FSLR,-0.012678208622059615,385,False
FTI,0.0012602045228816087,629,True
FTNT,0.011442637705931109,224,True
FTV,0.0003973622524408037,469,True
GD,0.0024556126609777055,403,True
GDDY,-0.006490168144481291,245,False
GE,0.003804053422668831,763,True
GEHC,0.002138244972261715,256,True
GEN,0.00613117176321255,304,True
GEV,0.0055610890199856025,117,True
GHC,0.0012098862894392296,6,True
GILD,0.006913981851837284,729,True
GIS,0.058400307905714155,867,True
GL,-0.004789431447984902,209,False
GLW,-0.0010173012125673706,494,False
GM,-0.0019233509686005386,728,False
GME,-0.02958616296728219,212,False
GNRC,0.00033543672983011913,294,True
GNW,-0.00943298244870351,193,False
GOOG,0.00962007160529672,408,True
GOOGL,0.004077976815090153,441,True
GPC,0.0056729556371744325,721,True
GPN,-0.009031804294255067,452,False
GRMN,-0.0035950285291386267,532,False
GS,0.002730847586629517,486,True
GT,0.005767142940248431,435,True
GWW,0.0031910952511123463,637,True
HAL,-0.004329410385220995,806,False
HAS,0.028921289723540168,590,True
HBAN,-2.0942294365740256e-05,498,False
HCA,0.010627151122422044,543,True
HD,0.0040136110811141296,571,True
HIG,0.006321853534448381,365,True
HII,0.0006033504378684516,442,True
HLT,0.0015696377833773608,211,True
HOG,0.006554737260955878,599,True
HON,0.0072406688108586255,337,True
HOOD,-0.0017085710075757862,51,False
HP,-0.008017514033652867,569,False
HPE,0.003948800089755243,404,True
HPQ,-0.000699345708096989,683,False
HRB,-0.002636237720824449,521,False
HRL,-0.0001430857070870697,574,False
HSIC,0.005444563798565252,437,True
HST,0.0033652971960006057,574,True
HSY,-0.004517632837908074,662,False
HUBB,0.002914305431261752,92,True
HUM,0.0078372032989692,500,True
HWM,0.01235760095344701,19,True
IBM,0.0106735411532148,720,True
ICE,0.004030255786768195,436,True
IDXX,-0.002914702515318568,429,False
IEX,0.0019265586985283795,296,True
IFF,0.01014977895316197,795,True
ILMN,-0.00043014191454587164,498,False
INCY,0.00661351952515463,488,True
INTC,4.123466446947707e-05,560,True
INTU,0.008148493912657054,417,True
INVH,0.004687891220420128,282,True
IP,0.014651156800820174,702,True
IPGP,0.0021776496565552817,260,True
IQV,0.004615076609055475,439,True
IR,-8.831081693444766e-05,205,False
IRM,0.0069376217899217996,657,True
ISRG,-0.018543201655517812,547,False
IT,-0.0014570767455141295,536,False
ITW,0.0027921543336352768,516,True
IVZ,0.011563869404421586,625,True
J,0.00475718137261269,164,True
JBHT,0.0020944251545783827,456,True
JBL,0.009899807787447293,203,True
JCI,0.003144190304664207,464,True
JEF,0.004824282514724813,445,True
JKHY,0.00010900726996174138,329,True
JNJ,-0.007830609820230911,496,False
JPM,-0.00015840445130399597,401,False
KDP,0.0038997859576745016,352,True
KEY,0.00011955398671756337,555,True
KEYS,0.006028995773492464,245,True
KHC,0.003903084471039347,637,True
KIM,0.0033090787281708804,601,True
KKR,-0.002921694180609607,147,False
KLAC,0.00748953273684778,423,True
KMB,0.008652983281596603,630,True
KMI,-0.004890056011602372,545,False
KMX,-0.0010038972836100403,712,False
KO,0.0053896510313512485,463,True
KR,-0.0008187353301739858,572,False
KSS,0.0007849511732720754,484,True
KVUE,0.003491453198349465,139,True
L,0.0055595412870999275,401,True
LDOS,0.01119191511904959,267,True
LEG,5.631064579222629e-05,362,True
LEN,0.005492498991859466,583,True
LH,0.0012614348642883578,430,True
LHX,0.0288246750255477,241,True
LII,0.002313200556026243,47,True
LIN,0.0016040205870239024,222,True
LITE,0.0030077506941668538,81,True
LKQ,0.0006582677438675297,521,True
