source_ticker,cumulative_contribution,active_days,profitable
A,0.004455529025853724,2245,True
AAL,-0.006762575281719219,870,False
AAP,0.0006106660170640123,993,True
AAPL,0.012469839981218325,2392,True
ABBV,0.007214626944560392,2193,True
ABNB,0.00026698707878162727,272,True
ABT,0.0025235483870162372,2439,True
ACGL,0.0008417872181241602,635,True
ACN,0.0031908483941685815,2197,True
ADBE,0.012036679725272548,2463,True
ADI,0.004569152864499816,2586,True
ADM,0.005487951903530007,1956,True
ADP,0.0035122619734746555,2355,True
ADSK,0.0033096475927242544,2222,True
AEE,0.0057396277184808804,2344,True
AEP,0.006084650082459002,2324,True
AES,-0.0016005253432712064,1869,False
AET,0.004513072970053651,1240,True
AFL,0.004402528939935509,2448,True
AIG,0.0016122597005228724,2039,True
AIV,0.000403345955120079,1352,True
AIZ,0.007533814071119382,2181,True
AJG,0.007289673995489423,1905,True
AKAM,0.0052399107569651715,2097,True
ALB,0.010591953212362906,1148,True
ALGN,0.0017523319168105723,1231,True
ALK,-0.0020700699522816423,827,False
ALL,0.00606176582008503,2354,True
ALLE,0.0011659612999240204,2004,True
AMAT,0.016511603909237102,2518,True
AMCR,0.0010143477145004888,827,True
AMD,0.02051707296350148,1782,True
AME,0.0019491774014352894,2225,True
AMG,-0.0001547331673877227,489,False
AMGN,0.0035360205593241503,2419,True
AMP,0.006670070431204926,2277,True
AMT,0.0064156322275405325,2192,True
AMZN,0.012884773300929778,2361,True
AN,-0.0003078591101704306,709,False
ANDV,0.005267674839936302,1019,True
ANET,0.01114579571605722,1275,True
ANF,-0.0006783801373859438,165,False
AON,0.007696783492090025,2453,True
AOS,0.0012280164833428247,1228,True
APA,-0.005987917736421945,1477,False
APD,0.004765429306032181,2380,True
APH,0.008294817341997792,2715,True
APO,-0.0024996874205074782,165,False
APP,-0.0010128217750987908,25,False
APTV,0.0009497845072022467,1846,True
ARE,0.0010448956611081135,1252,True
ATI,-0.0011403407642042813,299,False
ATO,0.003003115287262112,1122,True
AVB,0.0010988469050766466,2036,True
AVGO,0.01161671391381663,2393,True
AVY,0.0019929845110942734,2321,True
AWK,0.0020326249122991735,1617,True
AXON,0.0018874407569692388,329,True
AXP,0.0022918790330205825,2327,True
AYI,-0.0011598761319342196,71,False
AZO,0.010514718779789822,2408,True
BA,0.003935126866618218,2007,True
BAC,0.002694427289440664,2185,True
BALL,-0.00046595067052738657,590,False
BAX,0.0020148819891008616,1876,True
BBBY,0.003097693676577278,647,True
BBT,0.001555483483570932,1183,True
BBWI,-0.0037930467924862125,352,False
BBY,0.00560781133135174,2212,True
BDX,2.018778991923312e-05,2217,True
BEN,-1.961054695660973e-05,1754,False
BF-B,0.004181676111311443,1811,True
BG,0.001138208216550834,410,True
BHF,-0.0007162007303913335,56,False
BIIB,-0.0014366961506648188,1766,False
BIO,-0.001320245524804916,302,False
BKNG,0.005002109854119456,2136,True
BKR,0.005739463509005071,1032,True
BLDR,-0.0010263959303116054,154,False
BLK,0.005073255773819679,2366,True
BMS,0.00019615893021442774,342,True
BMY,0.002003808316365085,2036,True
BR,0.0026101865277391363,1100,True
BRK-B,0.0059608233050315595,2388,True
BRO,-0.00022109754646926658,641,False
BSX,0.006642586917048915,2442,True
BWA,0.0017865695215358083,1663,True
BX,0.0013585604422605374,234,True
BXP,-0.002342392300408052,1823,False
C,0.0037875875886953327,2255,True
CAG,0.0015793425342373974,1973,True
CAH,0.004840902522517948,2226,True
CARR,0.0018715830811836893,905,True
CAT,0.005929861511963228,2202,True
CB,0.0037347276671336814,2401,True
