source_ticker,cumulative_contribution,active_days,profitable
A,0.003925203307979749,1735,True
AAL,0.018688375794578178,1191,True
AAP,-0.000554630921265833,1014,False
AAPL,0.01566874934694089,1756,True
ABBV,0.005838260793599281,1742,True
ABNB,0.0012350115894010105,349,True
ABT,0.002879592703940924,1718,True
ACGL,0.0008760214440510783,467,True
ACN,0.0014647794705368628,1752,True
ADBE,0.00427089046437186,1756,True
ADI,0.0037049747257693155,1743,True
ADM,0.010325445405751065,1750,True
ADP,0.0035688765853340927,1763,True
ADSK,0.00930874052869589,1736,True
AEE,0.0019607895728681116,1728,True
AEP,0.00126126410041574,1738,True
AES,-0.0038039004557819654,1728,False
AET,0.004827412909041834,762,True
AFL,0.004985175487158094,1771,True
AIG,0.008764424402369568,1758,True
AIV,0.006489510500119146,1025,True
AIZ,0.0070541504068933475,1762,True
AJG,0.0062902703980537225,1317,True
AKAM,0.010261963952195542,1753,True
ALB,0.0037942200625815654,1267,True
ALGN,0.002863460573331579,1145,True
ALK,-0.0024409906479415638,946,False
ALL,0.005064541765533195,1727,True
ALLE,0.002704467722423686,1629,True
AMAT,0.0058279924262089585,1742,True
AMCR,-0.003347284142194643,921,False
AMD,0.00808858094348493,1261,True
AME,0.0027264953185216147,1674,True
AMG,-6.439563705695143e-06,709,False
AMGN,0.002829473215601227,1738,True
AMP,0.0045107708762477895,1762,True
AMT,0.0019899595546808402,1732,True
AMTM,-0.0005182994935571136,27,False
AMZN,0.01661239863998652,1720,True
AN,0.0004580735986180006,577,True
ANDV,0.0034812054659349775,722,True
ANET,0.0011386254086378131,1011,True
ANF,0.0003208009591895956,133,True
AON,0.008277397408710509,1747,True
AOS,0.0015640574951822639,1142,True
APA,0.015611597943263243,1729,True
APD,0.005101277049107779,1759,True
APH,0.003344848880123928,1733,True
APO,0.0011171170872120938,205,True
APP,0.00013419443850939082,98,True
APTV,0.005003118413997172,1698,True
ARE,0.004289791219534295,1176,True
ARES,0.0002901653928431509,75,True
ATI,-0.00186051956156639,300,False
ATO,-8.507346767498624e-05,962,False
AVB,0.0024874783079351847,1756,True
AVGO,0.009735457921134984,1561,True
AVY,0.005687547329145008,1746,True
AWK,0.003944926131976612,1330,True
AXON,0.0058562626651169365,415,True
AXP,0.010359978117110908,1732,True
AYI,-0.0003340929186289981,268,False
AZO,0.00784897999869035,1708,True
BA,0.018008701369001633,1754,True
BAC,0.010272467880277806,1717,True
BALL,-0.0012175394960079557,527,False
BAX,0.005259762199763173,1752,True
BBBY,0.003831148215301489,572,True
BBT,0.0005648143844200581,895,True
BBWI,-0.0031071866404167267,377,False
BBY,0.0023732581726412716,1734,True
