,benchmark_equal_weight_basket,benchmark_spy_buy_hold,combo__rsi_donchian__and,combo__rsi_donchian__or,combo__rsi_donchian__weighted_vote,combo__sma_donchian__and,combo__sma_donchian__or,combo__sma_donchian__weighted_vote,combo__sma_rsi__and,combo__sma_rsi__or,combo__sma_rsi__weighted_vote,donchian_breakout__long_only,ml_lightgbm,ml_logistic_regression,rsi_mean_reversion__long_only,rsi_mean_reversion__long_short,sma_crossover__long_only
benchmark_equal_weight_basket,1.0,-0.09343685137106252,0.028702919864164407,0.9537477408449239,0.9094115305095457,0.49819795277653506,0.9440829842653271,0.9346218490378227,0.8511533979940827,0.9774546463612426,0.9346218490378227,0.637489591023624,0.01766068590468293,-0.09078054038731068,0.8563616216943001,0.34137856481954165,0.9304149721484374
benchmark_spy_buy_hold,-0.09343685137106252,1.0,-0.000521183068983852,-0.09039880111331412,-0.07796946013567779,0.007445201653230848,-0.1170716751574196,-0.1192095575185357,-0.10327144451912779,-0.10393504699816121,-0.1192095575185357,-0.038264012949097335,-0.023374106546147397,0.008382332693909192,-0.07630979689178653,-0.04047636775301768,-0.09874395352630251
combo__rsi_donchian__and,0.028702919864164407,-0.000521183068983852,1.0,0.0377401667958895,0.014569707355990091,0.04717451546953941,0.035610985592643155,0.03356655724729669,0.019783587613394906,0.030814995232597134,0.03356655724729669,0.048514158370072266,0.00237135095343089,0.002301886866118449,0.006364200628427857,-0.028547748887421672,0.032536231167418744
combo__rsi_donchian__or,0.9537477408449239,-0.09039880111331412,0.0377401667958895,1.0,0.9641605269864938,0.4537814478060237,0.8847796885871343,0.8720889558458118,0.8696739195882014,0.9489783165800693,0.8720889558458118,0.6074931126431938,0.01332039541132127,-0.09707424295622187,0.9060577667448153,0.4814825327410608,0.8566884001444761
combo__rsi_donchian__weighted_vote,0.9094115305095457,-0.07796946013567779,0.014569707355990091,0.9641605269864938,1.0,0.3596934938517251,0.823138275220549,0.8138617337022114,0.878758399222189,0.904204332831901,0.8138617337022114,0.514624979435616,0.008715672819694471,-0.09361425780932174,0.9405327861451945,0.5814335524966263,0.7951143619855787
combo__sma_donchian__and,0.49819795277653506,0.007445201653230848,0.04717451546953941,0.4537814478060237,0.3596934938517251,1.0,0.5513061716671097,0.5462630775072368,0.37662347488880016,0.5035604377818339,0.5462630775072368,0.7810135850918831,0.00037828143894604895,-0.010059952864197334,0.3321797819703119,-0.07845830064420617,0.557208484270785
combo__sma_donchian__or,0.9440829842653271,-0.1170716751574196,0.035610985592643155,0.8847796885871343,0.823138275220549,0.5513061716671097,1.0,0.9959247265925306,0.8677227861386154,0.9669457004733365,0.9959247265925306,0.6413017602728466,0.026618601201087215,-0.072224651234106,0.7661973771353869,0.20641741091272292,0.9728046429520774
combo__sma_donchian__weighted_vote,0.9346218490378227,-0.1192095575185357,0.03356655724729669,0.8720889558458118,0.8138617337022114,0.5462630775072368,0.9959247265925306,1.0,0.8734152771168523,0.9670679533767675,1.0,0.621917146187124,0.028093627910901513,-0.068512308155144,0.7560777749394229,0.20418220906424508,0.9736032328298521
combo__sma_rsi__and,0.8511533979940827,-0.10327144451912779,0.019783587613394906,0.8696739195882014,0.878758399222189,0.37662347488880016,0.8677227861386154,0.8734152771168523,1.0,0.8810273019554348,0.8734152771168523,0.4713460897609606,0.010312116316364589,-0.06519640460661863,0.81040470598578,0.42412640952798214,0.8295014760991664
combo__sma_rsi__or,0.9774546463612426,-0.10393504699816121,0.030814995232597134,0.9489783165800693,0.904204332831901,0.5035604377818339,0.9669457004733365,0.9670679533767675,0.8810273019554348,1.0,0.9670679533767675,0.6194632653142557,0.02568197240214002,-0.0881327365937897,0.844213074817899,0.33778341266339623,0.9474577966379851
combo__sma_rsi__weighted_vote,0.9346218490378227,-0.1192095575185357,0.03356655724729669,0.8720889558458118,0.8138617337022114,0.5462630775072368,0.9959247265925306,1.0,0.8734152771168523,0.9670679533767675,1.0,0.621917146187124,0.028093627910901513,-0.068512308155144,0.7560777749394229,0.20418220906424508,0.9736032328298521
donchian_breakout__long_only,0.637489591023624,-0.038264012949097335,0.048514158370072266,0.6074931126431938,0.514624979435616,0.7810135850918831,0.6413017602728466,0.621917146187124,0.4713460897609606,0.6194632653142557,0.621917146187124,1.0,-0.016557881088495166,-0.024134197674812626,0.4798158107836807,0.04003854267350347,0.6440030377138177
ml_lightgbm,0.01766068590468293,-0.023374106546147397,0.00237135095343089,0.01332039541132127,0.008715672819694471,0.00037828143894604895,0.026618601201087215,0.028093627910901513,0.010312116316364589,0.02568197240214002,0.028093627910901513,-0.016557881088495166,1.0,-0.03627152827586505,-0.0007625221787218847,-0.01165170739879406,0.032268087326360204
ml_logistic_regression,-0.09078054038731068,0.008382332693909192,0.002301886866118449,-0.09707424295622187,-0.09361425780932174,-0.010059952864197334,-0.072224651234106,-0.068512308155144,-0.06519640460661863,-0.0881327365937897,-0.068512308155144,-0.024134197674812626,-0.03627152827586505,1.0,-0.09269189248186173,-0.03646506248538314,-0.0692789091511645
rsi_mean_reversion__long_only,0.8563616216943001,-0.07630979689178653,0.006364200628427857,0.9060577667448153,0.9405327861451945,0.3321797819703119,0.7661973771353869,0.7560777749394229,0.81040470598578,0.844213074817899,0.7560777749394229,0.4798158107836807,-0.0007625221787218847,-0.09269189248186173,1.0,0.6504302280390208,0.7410173896755617
rsi_mean_reversion__long_short,0.34137856481954165,-0.04047636775301768,-0.028547748887421672,0.4814825327410608,0.5814335524966263,-0.07845830064420617,0.20641741091272292,0.20418220906424508,0.42412640952798214,0.33778341266339623,0.20418220906424508,0.04003854267350347,-0.01165170739879406,-0.03646506248538314,0.6504302280390208,1.0,0.16781529920753793
sma_crossover__long_only,0.9304149721484374,-0.09874395352630251,0.032536231167418744,0.8566884001444761,0.7951143619855787,0.557208484270785,0.9728046429520774,0.9736032328298521,0.8295014760991664,0.9474577966379851,0.9736032328298521,0.6440030377138177,0.032268087326360204,-0.0692789091511645,0.7410173896755617,0.16781529920753793,1.0
