line_id,window_index,oos_start,oos_end,train_rows,test_rows,oos_sharpe
ml_lightgbm,0,2013-01-01,2013-12-31,394665,89170,-0.4539733797389785
ml_lightgbm,1,2014-01-01,2014-12-31,421168,90551,0.18577418342887062
ml_lightgbm,2,2015-01-01,2015-12-31,431218,92992,-0.7294860939443131
ml_lightgbm,3,2016-01-01,2016-12-31,440955,97927,-1.922157181478338
ml_lightgbm,4,2017-01-01,2017-12-31,454164,101834,-0.6065134257404222
ml_lightgbm,5,2018-01-01,2018-12-31,469998,104323,-1.3627413347318411
ml_lightgbm,6,2019-01-01,2019-12-31,485136,106099,-1.45129993633706
ml_lightgbm,7,2020-01-01,2020-12-31,500646,110381,1.4246713250849894
ml_lightgbm,8,2021-01-01,2021-12-31,517904,112595,0.7767946502929812
ml_lightgbm,9,2022-01-01,2022-12-31,532535,114629,0.47763196600014957
ml_lightgbm,10,2023-01-01,2023-12-31,545244,117416,-0.6473985040476422
ml_lightgbm,11,2024-01-01,2024-12-31,558275,121125,-0.774099919446401
ml_lightgbm,12,2025-01-01,2025-12-31,573238,121777,1.458829937647064
ml_lightgbm,13,2026-01-01,2026-08-11,584610,74628,-1.2882509306479084
