line_id,window_index,oos_start,oos_end,train_rows,test_rows,oos_sharpe
ml_logistic_regression,0,2013-01-01,2013-12-31,393479,88928,1.2750289372487191
ml_logistic_regression,1,2014-01-01,2014-12-31,419944,90300,
ml_logistic_regression,2,2015-01-01,2015-12-31,429988,92743,
ml_logistic_regression,3,2016-01-01,2016-12-31,439728,97452,-0.5083025005759567
ml_logistic_regression,4,2017-01-01,2017-12-31,452717,101334,0.6277843748296463
ml_logistic_regression,5,2018-01-01,2018-12-31,468293,104017,1.3549742593515506
ml_logistic_regression,6,2019-01-01,2019-12-31,483361,105843,-1.18344632504272
ml_logistic_regression,7,2020-01-01,2020-12-31,498866,110122,-0.549545449760359
ml_logistic_regression,8,2021-01-01,2021-12-31,516114,112346,-0.4784115450358444
ml_logistic_regression,9,2022-01-01,2022-12-31,530971,114377,-0.4436471140744179
ml_logistic_regression,10,2023-01-01,2023-12-31,543928,117168,-0.11902350115212054
ml_logistic_regression,11,2024-01-01,2024-12-31,557017,120873,3.161460199869347
ml_logistic_regression,12,2025-01-01,2025-12-31,571984,121528,0.8450763773733425
ml_logistic_regression,13,2026-01-01,2026-08-11,583366,74496,0.19330276989192538
