line_id,point_sharpe,ci_lower,ci_upper,p_value_sharpe_le_0,n_boot,bh_adjusted_p,significant_at_alpha
combo__sma_rsi__or,0.8883813117399307,0.3410991479883949,1.480486418940306,0.0,1000,0.0,True
combo__sma_rsi__weighted_vote,0.8522156999037609,0.3165639709263855,1.4241067892710901,0.0,1000,0.0,True
combo__sma_donchian__weighted_vote,0.8522156999037609,0.3165639709263855,1.4241067892710901,0.0,1000,0.0,True
combo__sma_donchian__or,0.8158798402084813,0.27757288109307987,1.3871220231203076,0.0,1000,0.0,True
combo__sma_adxtrend__regime_filter,0.784790073239403,0.25407280726661946,1.3412329791651012,0.001,1000,0.0035,True
sma_crossover__long_only,0.7699969875574918,0.2295727508869157,1.3468725374540187,0.002,1000,0.006,True
ml_logistic_regression,0.7570694753283481,0.3080332608806991,1.1916945199909026,0.0,1000,0.0,True
combo__rsi_donchian__weighted_vote,0.7314214251356626,0.22088274911621006,1.2896130710523899,0.003,1000,0.007875,True
bollinger_mean_reversion__long_only,0.681669049511229,0.14889701514904338,1.2275269287622272,0.008,1000,0.016800000000000002,True
mfi_mean_reversion__long_only,0.6354737657587065,0.1225134709271431,1.1881662950451357,0.007,1000,0.01633333333333333,True
rsi_mean_reversion__long_only,0.583216572590352,0.08092088856592108,1.1419895134637812,0.017,1000,0.03245454545454546,True
combo__sma_rsi__and,0.5272228348522913,0.016391222126972006,1.0395140205211397,0.02,1000,0.034999999999999996,True
combo__rsi_lowvol__regime_filter,0.48828390752706186,0.0015218886391731555,0.9830075110325353,0.025,1000,0.04038461538461539,True
macd_crossover__long_only,0.4280380837865237,-0.06851796121279558,0.9867483458277808,0.05,1000,0.07,False
combo__rsi_donchian__or,0.41312382217868476,-0.07838375606529874,0.9162289392118907,0.046,1000,0.06899999999999999,False
ml_lightgbm,0.1766408404871358,-0.3961972702463453,0.7871693129395669,0.253,1000,0.3320625,False
stochastic_crossover__long_only,0.03047864746270875,-0.4347090134815569,0.521612652472294,0.436,1000,0.5385882352941177,False
rsi_mean_reversion__long_short,-0.053270999809840555,-0.5685230293631088,0.4281573850052566,0.572,1000,0.6673333333333332,False
combo__rsi_donchian__and,-0.17805875437927451,-0.6513312466516405,0.26801471140084604,0.807,1000,0.8919473684210528,False
donchian_breakout__long_only,-0.8807604710154329,-1.3709201468212822,-0.38214407672760986,1.0,1000,1.0,False
combo__sma_donchian__and,-1.1205537438784394,-1.6168147959892516,-0.6087477129158311,1.0,1000,1.0,False
