strategy_id,strategy_name,mode,parameters,reason,sweep_sharpe,sweep_net_return,sweep_max_drawdown
sma_crossover__fast=50_slow=200__long_only,sma_crossover,long_only,"{'fast': 50, 'slow': 200}",Top Sharpe in the in-sample sweep.,0.7392564087492244,7.515838551677126,-0.378039991433333
rsi_mean_reversion__entry=40_exit=50_short_entry=60_window=21__long_only,rsi_mean_reversion,long_only,"{'entry': 40, 'exit': 50, 'short_entry': 60, 'window': 21}",2nd-best Sharpe in the in-sample sweep.,0.6899418021367496,12.269982452479324,-0.5724554337244874
rsi_mean_reversion__entry=30_exit=60_short_entry=70_window=14__long_only,rsi_mean_reversion,long_only,"{'entry': 30, 'exit': 60, 'short_entry': 70, 'window': 14}",3rd-best Sharpe in the in-sample sweep.,0.6742435262706744,10.90757467085962,-0.5752778635502269
sma_crossover__fast=10_slow=50__long_only,sma_crossover,long_only,"{'fast': 10, 'slow': 50}",4th-best Sharpe; faster SMA pair for contrast with 50/200.,0.5862471825136533,4.980714587792092,-0.5043485223301181
rsi_mean_reversion__entry=40_exit=50_short_entry=60_window=21__long_short,rsi_mean_reversion,long_short,"{'entry': 40, 'exit': 50, 'short_entry': 60, 'window': 21}",Best-performing RSI long-short config — deliberately included to test the long-side-more-robust hypothesis out-of-sample.,0.4955425475416668,1.3514418190844917,-0.1755612599933665
donchian_breakout__window=40__long_only,donchian_breakout,long_only,{'window': 40},Deliberately weak comparator — best-of-a-bad-bunch Donchian config; the whole family is negative-Sharpe in-sample.,-1.1435919605020426,-0.9919302030642596,-0.9926155308881802
macd_crossover__fast=19_signal=9_slow=39__long_only,macd_crossover,long_only,"{'fast': np.float64(19.0), 'signal': np.float64(9.0), 'slow': np.float64(39.0)}","Best in-sample long_only Sharpe among macd_crossover configs (programmatically selected, family had no rule-based coverage before this pass).",0.311982004462639,1.225150594468007,-0.6427703752557886
stochastic_crossover__smooth=5_window=14__long_only,stochastic_crossover,long_only,"{'smooth': np.float64(5.0), 'window': np.float64(14.0)}","Best in-sample long_only Sharpe among stochastic_crossover configs (programmatically selected, family had no rule-based coverage before this pass).",-0.1274985476376894,-0.6066515967533924,-0.7418860958607896
bollinger_mean_reversion__entry=-1.5_exit=0.0_num_std=1.5_short_entry=1.5_window=20__long_only,bollinger_mean_reversion,long_only,"{'entry': np.float64(-1.5), 'exit': np.float64(0.0), 'num_std': np.float64(1.5), 'short_entry': np.float64(1.5), 'window': np.float64(20.0)}","Best in-sample long_only Sharpe among bollinger_mean_reversion configs (programmatically selected, family had no rule-based coverage before this pass).",0.7531262946021409,15.027975221216977,-0.5488769273315726
mfi_mean_reversion__entry=30_exit=50_short_entry=70_window=14__long_only,mfi_mean_reversion,long_only,"{'entry': np.float64(30.0), 'exit': np.float64(50.0), 'short_entry': np.float64(70.0), 'window': np.float64(14.0)}","Best in-sample long_only Sharpe among mfi_mean_reversion configs (programmatically selected, family had no rule-based coverage before this pass).",0.6994053942138533,11.734221872328389,-0.5205848917493978
