line_id,type,strategy_name,mode,shortlist_source,n_windows,avg_wf_efficiency,avg_rank_corr_is_vs_oos,pct_windows_is_winner_also_oos_best,sharpe,sortino,net_return,max_drawdown,months_in_profit,months_count,months_in_profit_pct,avg_monthly_pnl,avg_daily_turnover,avg_gross_exposure,avg_net_exposure,strategy_id,cost_bps,combo_method
combo__sma_rsi__or,combo,sma+rsi,long_only,"sma={'fast': 50, 'slow': 200};rsi={'entry': 40, 'exit': 50, 'short_entry': 60, 'window': 21}",14,,,,0.8883813117399307,1.0849013722993257,5.507514383446763,-0.40122092706181056,109,164,0.6646341463414634,0.012612346360635945,0.03425189532632641,1.0,1.0,combo__sma_rsi__or,5.0,or
combo__sma_rsi__weighted_vote,combo,sma+rsi,long_only,"sma={'fast': 50, 'slow': 200};rsi={'entry': 40, 'exit': 50, 'short_entry': 60, 'window': 21}",14,,,,0.8522156999037609,1.0356046408254478,4.399710140982201,-0.3780399914333329,109,164,0.6646341463414634,0.01122544709477967,0.02168934518922503,1.0,1.0,combo__sma_rsi__weighted_vote,5.0,weighted_vote
combo__sma_donchian__weighted_vote,combo,sma+donchian,long_only,"sma={'fast': 50, 'slow': 200};donchian={'window': 40}",14,,,,0.8522156999037609,1.0356046408254478,4.399710140982201,-0.3780399914333329,109,164,0.6646341463414634,0.01122544709477967,0.02168934518922503,1.0,1.0,combo__sma_donchian__weighted_vote,5.0,weighted_vote
combo__sma_donchian__or,combo,sma+donchian,long_only,"sma={'fast': 50, 'slow': 200};donchian={'window': 40}",14,,,,0.8158798402084813,0.9932609551657492,3.986969779624901,-0.37757830868569686,110,164,0.6707317073170732,0.010722330653435341,0.07555652714945855,1.0,1.0,combo__sma_donchian__or,5.0,or
combo__sma_adxtrend__regime_filter,combo,sma+adx_trend_regime,long_only,"sma={'fast': 50, 'slow': 200};gate=adx_trend_regime",14,,,,0.784790073239403,0.9491285762027949,3.700872832443806,-0.3761755232027706,110,164,0.6707317073170732,0.01035576431149708,0.11443002051695157,1.0,1.0,combo__sma_adxtrend__regime_filter,5.0,regime_filter
sma_crossover__long_only,single,sma_crossover,long_only,sma_crossover__fast=50_slow=200__long_only;sma_crossover__fast=10_slow=50__long_only,14,1.5034107565577648,0.1061224489795918,0.2142857142857142,0.7699969875574918,0.9267473119856816,3.515498259825049,-0.3780399914333331,110,164,0.6707317073170732,0.0102042290258991,0.0535658827731175,1.0,1.0,sma_crossover__long_only,5.0,
combo__rsi_donchian__weighted_vote,combo,rsi+donchian,long_only,"rsi={'entry': 40, 'exit': 50, 'short_entry': 60, 'window': 21};donchian={'window': 40}",14,,,,0.7314214251356626,0.9665771785515114,4.869789279959248,-0.4364423990015831,99,164,0.6036585365853658,0.01259578479129783,0.17447080249010413,0.9991230634317451,0.9991230634317451,combo__rsi_donchian__weighted_vote,5.0,weighted_vote
bollinger_mean_reversion__long_only,single,bollinger_mean_reversion,long_only,best in-sample long_only bollinger_mean_reversion config (see results/shortlist.csv),14,1.16673372476979,0.2142857142857142,0.2857142857142857,0.681669049511229,0.8746458784865656,3.887881742997246,-0.4352987418466959,104,164,0.6341463414634146,0.0113638673201575,0.3216303672247131,1.0,1.0,bollinger_mean_reversion__long_only,5.0,
mfi_mean_reversion__long_only,single,mfi_mean_reversion,long_only,best in-sample long_only mfi_mean_reversion config (see results/shortlist.csv),14,1.2038598413638468,0.0285714285714285,0.3571428571428571,0.6354737657587065,0.825446446243128,3.3533295280678743,-0.4628751227207077,101,164,0.6158536585365854,0.0105473258137127,0.1905154804707437,0.9991230634317452,0.9991230634317452,mfi_mean_reversion__long_only,5.0,
rsi_mean_reversion__long_only,single,rsi_mean_reversion,long_only,rsi_mean_reversion__entry=40_exit=50_short_entry=60_window=21__long_only;rsi_mean_reversion__entry=30_exit=60_short_entry=70_window=14__long_only,14,1.0421368647398352,0.2326530612244897,0.0714285714285714,0.583216572590352,0.7541844178850544,3.1776248658814987,-0.436442399001583,98,164,0.5975609756097561,0.010807615160717,0.1547688285869341,0.9923998830751244,0.9923998830751244,rsi_mean_reversion__long_only,5.0,
