window_index,is_start,is_end,oos_start,oos_end,is_partial_oos
0,2008-01-01,2012-12-31,2013-01-01,2013-12-31,False
1,2009-01-01,2013-12-31,2014-01-01,2014-12-31,False
2,2010-01-01,2014-12-31,2015-01-01,2015-12-31,False
3,2011-01-01,2015-12-31,2016-01-01,2016-12-31,False
4,2012-01-01,2016-12-31,2017-01-01,2017-12-31,False
5,2013-01-01,2017-12-31,2018-01-01,2018-12-31,False
6,2014-01-01,2018-12-31,2019-01-01,2019-12-31,False
7,2015-01-01,2019-12-31,2020-01-01,2020-12-31,False
8,2016-01-01,2020-12-31,2021-01-01,2021-12-31,False
9,2017-01-01,2021-12-31,2022-01-01,2022-12-31,False
10,2018-01-01,2022-12-31,2023-01-01,2023-12-31,False
11,2019-01-01,2023-12-31,2024-01-01,2024-12-31,False
12,2020-01-01,2024-12-31,2025-01-01,2025-12-31,False
13,2021-01-01,2025-12-31,2026-01-01,2026-08-11,True
